Date,value,Name
2013-06-03,2.859,Euro 10 Yr Yield
2013-07-01,2.6874,Euro 10 Yr Yield
2013-08-21,3.1023,Euro 10 Yr Yield
2013-10-01,3.0959,Euro 10 Yr Yield
2013-11-01,3.4071,Euro 10 Yr Yield
2013-12-02,3.1628,Euro 10 Yr Yield
2014-02-03,3.3107,Euro 10 Yr Yield
2018-01-02,0.88,Euro 10 Yr Yield
2018-03-09,1.2731,Euro 10 Yr Yield
2018-04-04,1.1717,Euro 10 Yr Yield
2018-05-02,1.1286,Euro 10 Yr Yield
2018-06-05,1.2359,Euro 10 Yr Yield
2018-07-02,1.2872,Euro 10 Yr Yield
2018-08-01,1.1987,Euro 10 Yr Yield
2018-09-03,1.3674,Euro 10 Yr Yield
2018-10-09,1.3218,Euro 10 Yr Yield
2018-11-13,1.5603,Euro 10 Yr Yield
2018-12-17,1.4073,Euro 10 Yr Yield
2019-01-15,1.213,Euro 10 Yr Yield
2019-02-13,1.2065,Euro 10 Yr Yield
2019-03-13,1.1242,Euro 10 Yr Yield
2019-04-11,0.9948,Euro 10 Yr Yield
2019-05-22,0.9513,Euro 10 Yr Yield
2019-06-14,0.8722,Euro 10 Yr Yield
2019-07-11,0.5755,Euro 10 Yr Yield
2019-08-12,0.3582,Euro 10 Yr Yield
2019-09-11,0.1002,Euro 10 Yr Yield
2019-10-09,0.0506,Euro 10 Yr Yield
2019-12-12,0.305,Euro 10 Yr Yield
2020-01-15,0.3685,Euro 10 Yr Yield
2020-02-12,0.3183,Euro 10 Yr Yield
2020-03-11,0.1365,Euro 10 Yr Yield
2020-04-11,0.3715,Euro 10 Yr Yield
2020-05-14,0.5577,Euro 10 Yr Yield
2020-06-11,0.4796,Euro 10 Yr Yield
2020-07-10,0.3518,Euro 10 Yr Yield
2020-08-11,0.2205,Euro 10 Yr Yield
2020-09-10,0.1616,Euro 10 Yr Yield
2020-10-09,0.1221,Euro 10 Yr Yield
2020-11-10,0.0005,Euro 10 Yr Yield
2020-12-09,-0.0559,Euro 10 Yr Yield
2021-01-19,-0.0913,Euro 10 Yr Yield
2021-02-12,-0.0636,Euro 10 Yr Yield
2021-03-10,0.0668,Euro 10 Yr Yield
2021-04-14,0.1478,Euro 10 Yr Yield
2021-05-12,0.205,Euro 10 Yr Yield
2021-06-10,0.3769,Euro 10 Yr Yield
2021-07-13,0.3038,Euro 10 Yr Yield
2021-08-12,0.164,Euro 10 Yr Yield
2021-09-15,0.0598,Euro 10 Yr Yield
2021-10-13,0.1967,Euro 10 Yr Yield
2021-11-11,0.3523,Euro 10 Yr Yield
2021-12-10,0.3123,Euro 10 Yr Yield
2022-01-18,0.2791,Euro 10 Yr Yield
2022-02-11,0.5339,Euro 10 Yr Yield
2022-03-10,0.9442,Euro 10 Yr Yield
2022-04-14,1.0551,Euro 10 Yr Yield
2022-05-11,1.5685,Euro 10 Yr Yield
2022-06-14,1.8744,Euro 10 Yr Yield
2022-07-13,2.4377,Euro 10 Yr Yield
2022-08-10,2.0926,Euro 10 Yr Yield
2022-09-14,2.0583,Euro 10 Yr Yield
2022-11-11,3.185,Euro 10 Yr Yield
2022-12-10,2.9375,Euro 10 Yr Yield
2023-01-11,3.0002,Euro 10 Yr Yield
2023-02-13,3.0442,Euro 10 Yr Yield
2023-03-09,3.2228,Euro 10 Yr Yield
2023-04-07,3.2328,Euro 10 Yr Yield
2023-05-10,3.1929,Euro 10 Yr Yield
2023-06-13,3.2059,Euro 10 Yr Yield
2023-07-07,3.1647,Euro 10 Yr Yield
2023-08-10,3.2688,Euro 10 Yr Yield
2023-09-09,3.3432,Euro 10 Yr Yield
2023-10-07,3.5056,Euro 10 Yr Yield
2023-11-10,3.72,Euro 10 Yr Yield
2023-12-09,3.42,Euro 10 Yr Yield
2024-01-11,2.87,Euro 10 Yr Yield
2024-04-10,2.9528563917276096,Euro 10 Yr Yield
2024-05-15,3.0736716623470097,Euro 10 Yr Yield
2024-06-17,3.1213860530707698,Euro 10 Yr Yield
2024-07-15,3.1664328136082296,Euro 10 Yr Yield
2024-09-16,2.9057931467596205,Euro 10 Yr Yield
2024-10-15,2.83416486770752,Euro 10 Yr Yield
2024-11-15,2.8659339505326895,Euro 10 Yr Yield
2024-12-16,2.9291315226785,Euro 10 Yr Yield
2025-01-15,2.8123430297070198,Euro 10 Yr Yield
2025-02-17,3.0879559525017704,Euro 10 Yr Yield
2025-03-17,2.98865455430641,Euro 10 Yr Yield
2025-04-15,3.3137723598705695,Euro 10 Yr Yield
2025-05-15,3.09722067457384,Euro 10 Yr Yield
2025-06-16,3.07099472152821,Euro 10 Yr Yield
2025-07-15,3.08476080247758,Euro 10 Yr Yield
2013-06-03,0.589,Japan 10 Yr Yield
2013-07-01,0.879,Japan 10 Yr Yield
2013-08-01,0.822,Japan 10 Yr Yield
2013-10-01,0.708,Japan 10 Yr Yield
2013-11-01,0.669,Japan 10 Yr Yield
2013-12-02,0.59,Japan 10 Yr Yield
2014-02-03,0.688,Japan 10 Yr Yield
2014-10-01,0.488,Japan 10 Yr Yield
2014-11-03,0.497,Japan 10 Yr Yield
2014-12-01,0.465,Japan 10 Yr Yield
2015-06-01,0.33,Japan 10 Yr Yield
2015-07-01,0.39,Japan 10 Yr Yield
2015-08-03,0.45,Japan 10 Yr Yield
2015-09-01,0.41,Japan 10 Yr Yield
2015-11-02,0.35,Japan 10 Yr Yield
2015-12-01,0.3,Japan 10 Yr Yield
2016-01-04,0.3,Japan 10 Yr Yield
2016-02-01,0.27,Japan 10 Yr Yield
2016-03-01,0.1,Japan 10 Yr Yield
2016-04-01,-0.07,Japan 10 Yr Yield
2016-05-02,-0.05,Japan 10 Yr Yield
2016-06-01,-0.09,Japan 10 Yr Yield
2016-07-01,-0.12,Japan 10 Yr Yield
2016-08-01,-0.24,Japan 10 Yr Yield
2016-09-01,-0.18,Japan 10 Yr Yield
2016-10-03,-0.07,Japan 10 Yr Yield
2016-11-01,-0.09,Japan 10 Yr Yield
2016-12-01,-0.06,Japan 10 Yr Yield
2017-01-03,0.02,Japan 10 Yr Yield
2017-02-01,0.04,Japan 10 Yr Yield
2017-03-01,0.08,Japan 10 Yr Yield
2017-04-03,0.05,Japan 10 Yr Yield
2017-05-01,0.07,Japan 10 Yr Yield
2017-07-03,0.04,Japan 10 Yr Yield
2017-09-01,0.08,Japan 10 Yr Yield
2017-10-02,0.0,Japan 10 Yr Yield
2017-11-01,0.06,Japan 10 Yr Yield
2017-12-01,0.07,Japan 10 Yr Yield
2018-01-02,0.03,Japan 10 Yr Yield
2018-03-09,0.08,Japan 10 Yr Yield
2018-04-04,0.045,Japan 10 Yr Yield
2018-06-05,0.05,Japan 10 Yr Yield
2018-07-03,0.03,Japan 10 Yr Yield
2018-08-01,0.06,Japan 10 Yr Yield
2018-09-04,0.11,Japan 10 Yr Yield
2018-10-09,0.125,Japan 10 Yr Yield
2018-11-13,0.13,Japan 10 Yr Yield
2018-12-17,0.085,Japan 10 Yr Yield
2019-01-15,-0.01,Japan 10 Yr Yield
2019-02-13,0.0,Japan 10 Yr Yield
2019-03-13,-0.015,Japan 10 Yr Yield
2019-04-11,-0.095,Japan 10 Yr Yield
2019-05-22,-0.045,Japan 10 Yr Yield
2019-06-14,-0.095,Japan 10 Yr Yield
2019-07-11,-0.165,Japan 10 Yr Yield
2019-08-12,-0.16,Japan 10 Yr Yield
2019-09-11,-0.28,Japan 10 Yr Yield
2019-10-09,-0.215,Japan 10 Yr Yield
2019-12-12,-0.08,Japan 10 Yr Yield
2020-01-15,-0.025,Japan 10 Yr Yield
2020-02-12,-0.065,Japan 10 Yr Yield
2020-03-11,-0.155,Japan 10 Yr Yield
2020-04-11,0.005,Japan 10 Yr Yield
2020-05-14,-0.05,Japan 10 Yr Yield
2020-06-11,0.0,Japan 10 Yr Yield
2020-07-10,0.03,Japan 10 Yr Yield
2020-08-11,0.01,Japan 10 Yr Yield
2020-09-10,0.045,Japan 10 Yr Yield
2020-10-09,0.015,Japan 10 Yr Yield
2020-11-10,0.04,Japan 10 Yr Yield
2020-12-09,0.03,Japan 10 Yr Yield
2021-01-19,0.02,Japan 10 Yr Yield
2021-02-12,0.055,Japan 10 Yr Yield
2021-03-10,0.15,Japan 10 Yr Yield
2021-04-14,0.12,Japan 10 Yr Yield
2021-05-12,0.09,Japan 10 Yr Yield
2021-06-10,0.08,Japan 10 Yr Yield
2021-07-13,0.05,Japan 10 Yr Yield
2021-08-12,0.015,Japan 10 Yr Yield
2021-10-13,0.065,Japan 10 Yr Yield
2021-11-11,0.095,Japan 10 Yr Yield
2021-12-10,0.05,Japan 10 Yr Yield
2022-01-18,0.07,Japan 10 Yr Yield
2022-02-11,0.17,Japan 10 Yr Yield
2022-03-10,0.18,Japan 10 Yr Yield
2022-04-14,0.21,Japan 10 Yr Yield
2022-05-11,0.215,Japan 10 Yr Yield
2022-06-14,0.235,Japan 10 Yr Yield
2022-07-13,0.225,Japan 10 Yr Yield
2022-08-10,0.18,Japan 10 Yr Yield
2022-09-14,0.22,Japan 10 Yr Yield
2022-11-11,0.245,Japan 10 Yr Yield
2022-12-10,0.25,Japan 10 Yr Yield
2023-01-11,0.41,Japan 10 Yr Yield
2023-02-13,0.49,Japan 10 Yr Yield
2023-03-09,0.5,Japan 10 Yr Yield
2023-04-07,0.32,Japan 10 Yr Yield
2023-05-10,0.385,Japan 10 Yr Yield
2023-06-13,0.43,Japan 10 Yr Yield
2023-07-07,0.395,Japan 10 Yr Yield
2023-08-10,0.595,Japan 10 Yr Yield
2023-09-09,0.64,Japan 10 Yr Yield
2023-10-07,0.765,Japan 10 Yr Yield
2023-11-10,0.95,Japan 10 Yr Yield
2023-12-09,0.66,Japan 10 Yr Yield
2024-01-11,0.585,Japan 10 Yr Yield
2024-04-10,0.725,Japan 10 Yr Yield
2024-05-15,0.87,Japan 10 Yr Yield
2024-06-17,1.07,Japan 10 Yr Yield
2024-07-15,1.05,Japan 10 Yr Yield
2024-09-16,0.89,Japan 10 Yr Yield
2024-10-15,0.855,Japan 10 Yr Yield
2024-11-15,0.935,Japan 10 Yr Yield
2024-12-16,1.05,Japan 10 Yr Yield
2025-01-15,1.09,Japan 10 Yr Yield
2025-02-17,1.245,Japan 10 Yr Yield
2025-03-17,1.37,Japan 10 Yr Yield
2025-04-15,1.485,Japan 10 Yr Yield
2025-05-15,1.31,Japan 10 Yr Yield
2025-06-16,1.5,Japan 10 Yr Yield
2025-07-15,1.42,Japan 10 Yr Yield
